Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.0066, Top 3: 0.0726, Top 5: 0.1353
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0066  (2/303)
23: 0.2000  (1/5)
24: 0.0000  (0/6)
25: 0.0000  (0/1)
(baseline) Accuracies of the localization task: Top 1: 0.0588, Top 3: 0.2794, Top 5: 0.3676
(baseline) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0588  (4/68)
(baseline) Accuracies of the localization task per number of reference nodes: 
5: 0.0000  (0/1)
6: 0.0000  (0/1)
8: 0.2000  (1/5)
9: 0.0000  (0/4)
10: 0.0000  (0/4)
11: 0.3333  (1/3)
12: 0.2500  (1/4)
13: 0.0000  (0/1)
14: 0.0000  (0/2)
15: 0.0000  (0/1)
16: 0.0000  (0/5)
17: 0.0000  (0/4)
18: 0.0000  (0/4)
19: 0.0000  (0/3)
20: 0.0000  (0/2)
21: 0.0000  (0/3)
22: 0.0000  (0/9)
23: 0.0000  (0/5)
24: 0.1667  (1/6)
25: 0.0000  (0/1)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 182, #Avg. Reference nodes in evaluation graphs: 16.558823529411764, Use Scaler: False
Removed bugtypes: VariableMisuseRewriteScout, ArgSwapRewriteScout, LiteralRewriteScout
 
Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.3774, Top 3: 0.7245, Top 5: 0.8567
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.3774  (137/363)
(gnn) Accuracies of the localization task per number of reference nodes: 
3: 1.0000  (1/1)
4: 0.5000  (1/2)
5: 1.0000  (4/4)
6: 0.8333  (5/6)
7: 0.8750  (7/8)
8: 0.6000  (6/10)
9: 0.3636  (4/11)
10: 0.7500  (9/12)
11: 0.4583  (11/24)
12: 0.4286  (9/21)
13: 0.2857  (4/14)
14: 0.3333  (3/9)
15: 0.3846  (5/13)
16: 0.3043  (7/23)
17: 0.3077  (8/26)
18: 0.3077  (8/26)
19: 0.2857  (6/21)
20: 0.2941  (5/17)
21: 0.5000  (10/20)
22: 0.1613  (5/31)
23: 0.3684  (7/19)
24: 0.2609  (6/23)
25: 0.2727  (6/22)
(baseline) Accuracies of the localization task: Top 1: 0.0606, Top 3: 0.2094, Top 5: 0.3471
(baseline) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0606  (22/363)
(baseline) Accuracies of the localization task per number of reference nodes: 
3: 0.0000  (0/1)
4: 0.0000  (0/2)
5: 0.2500  (1/4)
6: 0.1667  (1/6)
7: 0.0000  (0/8)
8: 0.0000  (0/10)
9: 0.0909  (1/11)
10: 0.0833  (1/12)
11: 0.0833  (2/24)
12: 0.1905  (4/21)
13: 0.0714  (1/14)
14: 0.0000  (0/9)
15: 0.0769  (1/13)
16: 0.0870  (2/23)
17: 0.0385  (1/26)
18: 0.1154  (3/26)
19: 0.0000  (0/21)
20: 0.0588  (1/17)
21: 0.1000  (2/20)
22: 0.0000  (0/31)
23: 0.0000  (0/19)
24: 0.0000  (0/23)
25: 0.0455  (1/22)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 901, #Avg. Reference nodes in evaluation graphs: 16.801652892561982, Use Scaler: False
Removed bugtypes: VariableMisuseRewriteScout, ArgSwapRewriteScout, LiteralRewriteScout
 
Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.2817, Top 3: 0.5248, Top 5: 0.6510
(gnn) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.2817  (431/1530)
(gnn) Accuracies of the localization task per number of reference nodes: 
3: 1.0000  (1/1)
4: 0.5000  (1/2)
5: 1.0000  (5/5)
6: 0.7778  (7/9)
7: 0.8750  (7/8)
8: 0.3333  (4/12)
9: 0.6154  (8/13)
10: 0.9286  (13/14)
11: 0.6296  (17/27)
12: 0.4615  (12/26)
13: 0.3125  (5/16)
14: 0.3571  (5/14)
15: 0.6154  (8/13)
16: 0.4583  (11/24)
17: 0.4444  (12/27)
18: 0.5862  (17/29)
19: 0.5455  (12/22)
20: 0.3500  (7/20)
21: 0.5600  (14/25)
22: 0.3438  (11/32)
23: 0.5000  (10/20)
24: 0.4231  (11/26)
25: 0.2174  (5/23)
26: 0.3462  (9/26)
27: 0.1250  (3/24)
28: 0.1250  (2/16)
29: 0.3182  (7/22)
30: 0.5000  (5/10)
31: 0.3000  (6/20)
32: 0.2222  (4/18)
33: 0.2941  (5/17)
34: 0.3077  (8/26)
35: 0.5556  (10/18)
36: 0.3889  (7/18)
37: 0.4667  (7/15)
38: 0.5833  (7/12)
39: 0.1875  (3/16)
40: 0.2857  (8/28)
41: 0.0909  (1/11)
42: 0.1667  (1/6)
43: 0.3571  (5/14)
44: 0.0000  (0/14)
45: 0.0909  (2/22)
46: 0.5000  (5/10)
47: 0.2143  (3/14)
48: 0.3750  (3/8)
49: 0.1429  (2/14)
50: 0.2143  (3/14)
51: 0.0000  (0/3)
52: 0.0952  (2/21)
53: 0.0909  (1/11)
54: 0.2381  (5/21)
55: 0.2500  (3/12)
56: 0.2000  (2/10)
57: 0.3750  (3/8)
58: 0.1429  (1/7)
59: 0.4545  (5/11)
60: 0.2143  (3/14)
61: 0.0000  (0/4)
62: 0.2381  (5/21)
63: 0.1667  (1/6)
64: 0.0000  (0/5)
65: 0.5000  (4/8)
66: 0.2500  (1/4)
67: 0.1429  (1/7)
68: 0.1111  (1/9)
69: 0.0000  (0/12)
70: 0.2000  (1/5)
71: 0.6000  (3/5)
72: 0.1905  (4/21)
73: 0.1000  (1/10)
74: 0.1000  (1/10)
75: 0.2500  (3/12)
76: 0.5000  (2/4)
77: 0.6667  (2/3)
78: 1.0000  (1/1)
79: 0.0833  (1/12)
80: 0.0000  (0/2)
81: 0.4286  (3/7)
82: 0.1667  (1/6)
83: 0.0000  (0/1)
84: 0.3333  (2/6)
85: 0.0000  (0/4)
87: 0.1818  (2/11)
88: 0.4000  (4/10)
89: 0.0000  (0/2)
90: 0.0000  (0/4)
91: 0.3333  (1/3)
92: 0.0000  (0/2)
93: 0.0000  (0/10)
94: 0.1111  (1/9)
95: 0.0000  (0/3)
96: 0.1818  (2/11)
97: 0.0000  (0/2)
98: 0.1667  (1/6)
99: 0.2222  (2/9)
100: 0.2500  (1/4)
101: 0.5000  (1/2)
102: 0.1667  (1/6)
103: 0.6000  (3/5)
104: 0.0769  (1/13)
105: 0.0000  (0/5)
106: 0.5000  (1/2)
107: 0.0000  (0/2)
108: 0.2000  (1/5)
109: 0.2857  (2/7)
111: 0.5000  (1/2)
112: 1.0000  (1/1)
113: 0.1111  (1/9)
114: 0.0000  (0/7)
115: 0.1111  (1/9)
117: 0.0000  (0/3)
118: 0.0000  (0/6)
120: 0.0000  (0/5)
121: 0.0000  (0/2)
122: 0.1667  (1/6)
123: 0.0000  (0/1)
125: 0.0000  (0/4)
126: 0.2500  (1/4)
127: 0.0000  (0/3)
129: 0.0000  (0/4)
130: 0.1111  (1/9)
131: 1.0000  (2/2)
132: 0.0000  (0/4)
133: 0.0000  (0/1)
138: 0.0000  (0/4)
142: 0.0000  (0/1)
143: 0.2500  (1/4)
144: 0.0000  (0/4)
145: 0.5000  (2/4)
146: 0.2000  (1/5)
149: 0.0833  (1/12)
152: 0.0000  (0/4)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.2000  (1/5)
156: 0.0000  (0/1)
157: 0.0000  (0/1)
162: 0.0000  (0/3)
163: 0.1667  (1/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
171: 0.0000  (0/2)
172: 0.0000  (0/1)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.0000  (0/4)
181: 0.2000  (1/5)
185: 0.0000  (0/1)
186: 0.0000  (0/1)
187: 0.0000  (0/1)
189: 0.0000  (0/1)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
203: 0.5000  (1/2)
204: 0.0000  (0/1)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
219: 0.5000  (1/2)
221: 0.2500  (1/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
245: 0.0000  (0/1)
249: 0.0000  (0/1)
252: 0.0000  (0/2)
261: 0.5000  (1/2)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.2500  (1/4)
308: 0.0000  (0/4)
352: 0.2500  (1/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
389: 0.0000  (0/1)
390: 0.2500  (1/4)
407: 0.0000  (0/4)
437: 0.2000  (1/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
882: 0.0000  (0/4)
(baseline) Accuracies of the localization task: Top 1: 0.0307, Top 3: 0.0980, Top 5: 0.1621
(baseline) Accuracies of the localization task per bug type: 
LoopStatementRewriteScout: 0.0307  (47/1530)
(baseline) Accuracies of the localization task per number of reference nodes: 
3: 1.0000  (1/1)
4: 0.0000  (0/2)
5: 0.0000  (0/5)
6: 0.0000  (0/9)
7: 0.1250  (1/8)
8: 0.0833  (1/12)
9: 0.2308  (3/13)
10: 0.1429  (2/14)
11: 0.1481  (4/27)
12: 0.0769  (2/26)
13: 0.0625  (1/16)
14: 0.0000  (0/14)
15: 0.0769  (1/13)
16: 0.0417  (1/24)
17: 0.0370  (1/27)
18: 0.0000  (0/29)
19: 0.0000  (0/22)
20: 0.0500  (1/20)
21: 0.1200  (3/25)
22: 0.0938  (3/32)
23: 0.0000  (0/20)
24: 0.0385  (1/26)
25: 0.0000  (0/23)
26: 0.0385  (1/26)
27: 0.0417  (1/24)
28: 0.0000  (0/16)
29: 0.0455  (1/22)
30: 0.0000  (0/10)
31: 0.1000  (2/20)
32: 0.0000  (0/18)
33: 0.0000  (0/17)
34: 0.0769  (2/26)
35: 0.0000  (0/18)
36: 0.0000  (0/18)
37: 0.0667  (1/15)
38: 0.0000  (0/12)
39: 0.1250  (2/16)
40: 0.0357  (1/28)
41: 0.0000  (0/11)
42: 0.0000  (0/6)
43: 0.0714  (1/14)
44: 0.0000  (0/14)
45: 0.0000  (0/22)
46: 0.0000  (0/10)
47: 0.0000  (0/14)
48: 0.1250  (1/8)
49: 0.0000  (0/14)
50: 0.0000  (0/14)
51: 0.0000  (0/3)
52: 0.0000  (0/21)
53: 0.0000  (0/11)
54: 0.0000  (0/21)
55: 0.0000  (0/12)
56: 0.1000  (1/10)
57: 0.0000  (0/8)
58: 0.0000  (0/7)
59: 0.0000  (0/11)
60: 0.0000  (0/14)
61: 0.0000  (0/4)
62: 0.0000  (0/21)
63: 0.0000  (0/6)
64: 0.2000  (1/5)
65: 0.0000  (0/8)
66: 0.0000  (0/4)
67: 0.0000  (0/7)
68: 0.1111  (1/9)
69: 0.0000  (0/12)
70: 0.0000  (0/5)
71: 0.0000  (0/5)
72: 0.0000  (0/21)
73: 0.0000  (0/10)
74: 0.0000  (0/10)
75: 0.0000  (0/12)
76: 0.0000  (0/4)
77: 0.0000  (0/3)
78: 0.0000  (0/1)
79: 0.0000  (0/12)
80: 0.0000  (0/2)
81: 0.1429  (1/7)
82: 0.0000  (0/6)
83: 0.0000  (0/1)
84: 0.0000  (0/6)
85: 0.0000  (0/4)
87: 0.0000  (0/11)
88: 0.0000  (0/10)
89: 0.0000  (0/2)
90: 0.0000  (0/4)
91: 0.0000  (0/3)
92: 0.0000  (0/2)
93: 0.0000  (0/10)
94: 0.0000  (0/9)
95: 0.0000  (0/3)
96: 0.0000  (0/11)
97: 0.0000  (0/2)
98: 0.0000  (0/6)
99: 0.0000  (0/9)
100: 0.0000  (0/4)
101: 0.0000  (0/2)
102: 0.1667  (1/6)
103: 0.0000  (0/5)
104: 0.0000  (0/13)
105: 0.0000  (0/5)
106: 0.5000  (1/2)
107: 0.0000  (0/2)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
111: 0.0000  (0/2)
112: 0.0000  (0/1)
113: 0.0000  (0/9)
114: 0.0000  (0/7)
115: 0.0000  (0/9)
117: 0.0000  (0/3)
118: 0.0000  (0/6)
120: 0.0000  (0/5)
121: 0.0000  (0/2)
122: 0.0000  (0/6)
123: 0.0000  (0/1)
125: 0.0000  (0/4)
126: 0.0000  (0/4)
127: 0.0000  (0/3)
129: 0.0000  (0/4)
130: 0.1111  (1/9)
131: 0.0000  (0/2)
132: 0.0000  (0/4)
133: 0.0000  (0/1)
138: 0.0000  (0/4)
142: 0.0000  (0/1)
143: 0.0000  (0/4)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
149: 0.0000  (0/12)
152: 0.0000  (0/4)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/1)
157: 0.0000  (0/1)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
171: 0.0000  (0/2)
172: 0.0000  (0/1)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.2500  (1/4)
181: 0.0000  (0/5)
185: 0.0000  (0/1)
186: 0.0000  (0/1)
187: 0.0000  (0/1)
189: 0.0000  (0/1)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
203: 0.0000  (0/2)
204: 0.0000  (0/1)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
245: 0.0000  (0/1)
249: 0.0000  (0/1)
252: 0.0000  (0/2)
261: 0.0000  (0/2)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
882: 0.0000  (0/4)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 4138, #Avg. Reference nodes in evaluation graphs: 73.2673202614379, Use Scaler: False
Removed bugtypes: ArgSwapRewriteScout, LiteralRewriteScout, BooleanOperatorRewriteScout, AssignRewriteScout, BinaryOperatorRewriteScout, ComparisonOperatorRewriteScout, VariableMisuseRewriteScout
# of Graphs: 6928, # Graphs for Training: 4138, # Graphs for Validation: 1260, # Graphs for Evaluation: 1530
# Nodes per training graph: Avg: 600.3929434509425 Median: 411.0 Max: 15320 Min: 53
# Reference nodes per training graph: Avg: 80.53189946834219 Median: 48.0 Max: 1650 Min: 4
# Nodes per validation graph: Avg: 613.1365079365079 Median: 381.5 Max: 27870 Min: 55
# Reference nodes per validation graph: Avg: 70.91984126984127 Median: 44.0 Max: 1056 Min: 3
# Nodes per evaluation graph: Avg: 559.524183006536 Median: 402.0 Max: 3784 Min: 63
# Reference nodes per evaluation graph: Avg: 73.2673202614379 Median: 46.0 Max: 882 Min: 3

# of Graphs: 31793, # Graphs for Training: 19251, # Graphs for Validation: 5853, # Graphs for Evaluation: 6689
# Nodes per training graph: Avg: 144.7952314165498 Median: 130.0 Max: 788 Min: 22
# Reference nodes per training graph: Avg: 10.900057139888837 Median: 10.0 Max: 25 Min: 2
# Nodes per validation graph: Avg: 148.55322057064754 Median: 134.0 Max: 1261 Min: 27
# Reference nodes per validation graph: Avg: 11.07568768153084 Median: 10.0 Max: 25 Min: 2
# Nodes per evaluation graph: Avg: 148.07489908805502 Median: 134.0 Max: 921 Min: 23
# Reference nodes per evaluation graph: Avg: 11.21423232172223 Median: 10.0 Max: 25 Min: 2

 
Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.3262, Top 3: 0.6801, Top 5: 0.8370
(gnn) Accuracies of the localization task per bug type: 
AssignRewriteScout: 0.4229  (1067/2523)
BinaryOperatorRewriteScout: 0.2538  (168/662)
BooleanOperatorRewriteScout: 0.2991  (262/876)
ComparisonOperatorRewriteScout: 0.3027  (672/2220)
LoopStatementRewriteScout: 0.0319  (13/408)
(gnn) Accuracies of the localization task per number of reference nodes: 
2: 0.7869  (144/183)
3: 0.5733  (219/382)
4: 0.4919  (244/496)
5: 0.3805  (148/389)
6: 0.4244  (250/589)
7: 0.3458  (139/402)
8: 0.3725  (171/459)
9: 0.3559  (105/295)
10: 0.2929  (99/338)
11: 0.2778  (90/324)
12: 0.2460  (62/252)
13: 0.2201  (57/259)
14: 0.1923  (55/286)
15: 0.2462  (64/260)
16: 0.1772  (42/237)
17: 0.1838  (43/234)
18: 0.1958  (37/189)
19: 0.1864  (33/177)
20: 0.2289  (38/166)
21: 0.1961  (30/153)
22: 0.2177  (32/147)
23: 0.2158  (30/139)
24: 0.1677  (28/167)
25: 0.1325  (22/166)
(baseline) Accuracies of the localization task: Top 1: 0.1293, Top 3: 0.3841, Top 5: 0.5647
(baseline) Accuracies of the localization task per bug type: 
AssignRewriteScout: 0.1256  (317/2523)
BinaryOperatorRewriteScout: 0.1178  (78/662)
BooleanOperatorRewriteScout: 0.1050  (92/876)
ComparisonOperatorRewriteScout: 0.1608  (357/2220)
LoopStatementRewriteScout: 0.0515  (21/408)
(baseline) Accuracies of the localization task per number of reference nodes: 
2: 0.5027  (92/183)
3: 0.3377  (129/382)
4: 0.2399  (119/496)
5: 0.1697  (66/389)
6: 0.1885  (111/589)
7: 0.1294  (52/402)
8: 0.1481  (68/459)
9: 0.0746  (22/295)
10: 0.0917  (31/338)
11: 0.0864  (28/324)
12: 0.0714  (18/252)
13: 0.0579  (15/259)
14: 0.0315  (9/286)
15: 0.0615  (16/260)
16: 0.0506  (12/237)
17: 0.0556  (13/234)
18: 0.0476  (9/189)
19: 0.0621  (11/177)
20: 0.0542  (9/166)
21: 0.0327  (5/153)
22: 0.0204  (3/147)
23: 0.0432  (6/139)
24: 0.0719  (12/167)
25: 0.0542  (9/166)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 19251, #Avg. Reference nodes in evaluation graphs: 11.21423232172223, Use Scaler: False
Removed bugtypes: VariableMisuseRewriteScout, ArgSwapRewriteScout, LiteralRewriteScout

# of Graphs: 46042, # Graphs for Training: 27912, # Graphs for Validation: 8334, # Graphs for Evaluation: 9796
# Nodes per training graph: Avg: 277.0470765262253 Median: 175.0 Max: 15320 Min: 22
# Reference nodes per training graph: Avg: 29.547721410146174 Median: 15.0 Max: 1650 Min: 2
# Nodes per validation graph: Avg: 282.08435325173986 Median: 179.0 Max: 27870 Min: 27
# Reference nodes per validation graph: Avg: 28.72126229901608 Median: 15.0 Max: 1056 Min: 2
# Nodes per evaluation graph: Avg: 272.40832993058393 Median: 183.0 Max: 3784 Min: 23
# Reference nodes per evaluation graph: Avg: 28.930073499387504 Median: 15.0 Max: 882 Min: 2
