Evaluation results:
(gnn) Accuracies of the localization task: Top 1: 0.1709, Top 3: 0.4132, Top 5: 0.5517
(gnn) Accuracies of the localization task per bug type: 
AssignRewriteScout: 0.1893  (607/3207)
61: 0.0357  (1/28)
62: 0.0345  (1/29)
63: 0.0000  (0/27)
64: 0.0000  (0/20)
65: 0.0000  (0/28)
66: 0.0000  (0/17)
67: 0.0000  (0/14)
68: 0.0000  (0/21)
69: 0.0000  (0/21)
70: 0.0000  (0/10)
71: 0.0000  (0/13)
72: 0.0357  (1/28)
73: 0.0625  (1/16)
74: 0.0000  (0/11)
75: 0.0000  (0/21)
76: 0.0000  (0/4)
77: 0.0000  (0/12)
78: 0.0000  (0/24)
79: 0.0000  (0/20)
80: 0.0000  (0/7)
81: 0.0000  (0/7)
82: 0.0909  (1/11)
83: 0.0000  (0/6)
84: 0.0000  (0/11)
85: 0.0526  (1/19)
86: 0.0000  (0/11)
87: 0.0000  (0/11)
88: 0.0000  (0/11)
89: 0.0000  (0/6)
90: 0.0000  (0/5)
91: 0.0000  (0/7)
92: 0.2000  (1/5)
93: 0.0000  (0/16)
94: 0.0000  (0/12)
95: 0.0625  (1/16)
96: 0.0000  (0/16)
97: 0.0000  (0/7)
98: 0.0000  (0/6)
99: 0.0000  (0/10)
100: 0.0000  (0/9)
101: 0.0000  (0/4)
102: 0.0000  (0/11)
103: 0.0000  (0/9)
104: 0.0556  (1/18)
105: 0.0000  (0/10)
106: 0.0000  (0/2)
107: 0.0000  (0/7)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
110: 0.0000  (0/3)
111: 0.0000  (0/3)
112: 0.0000  (0/8)
113: 0.0000  (0/9)
114: 0.0909  (1/11)
115: 0.0000  (0/10)
116: 0.0000  (0/3)
117: 0.0000  (0/7)
118: 0.0000  (0/10)
119: 0.0000  (0/6)
120: 0.0000  (0/5)
121: 0.0000  (0/2)
122: 0.1667  (1/6)
123: 0.0000  (0/2)
125: 0.0000  (0/4)
126: 0.0000  (0/7)
127: 0.0000  (0/11)
128: 0.0000  (0/5)
129: 0.0000  (0/4)
130: 0.0000  (0/12)
131: 0.0000  (0/6)
132: 0.0000  (0/8)
133: 0.0000  (0/3)
134: 0.0000  (0/4)
136: 0.0000  (0/4)
138: 0.0000  (0/4)
139: 0.0000  (0/1)
140: 0.0000  (0/1)
141: 0.0000  (0/8)
142: 0.0000  (0/1)
143: 0.0000  (0/11)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
147: 0.0000  (0/4)
149: 0.0000  (0/12)
152: 0.0000  (0/4)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/2)
157: 0.0000  (0/4)
160: 0.0000  (0/2)
161: 0.0000  (0/2)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
171: 0.0000  (0/2)
172: 0.0000  (0/1)
173: 0.0000  (0/4)
174: 0.0000  (0/4)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.0000  (0/4)
181: 0.0000  (0/5)
185: 0.0000  (0/1)
186: 0.0000  (0/2)
187: 0.0000  (0/3)
189: 0.0000  (0/1)
193: 0.0000  (0/1)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
203: 0.0000  (0/2)
204: 0.0000  (0/1)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
240: 0.0000  (0/1)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
245: 0.0000  (0/1)
248: 0.0000  (0/1)
249: 0.0000  (0/5)
252: 0.0000  (0/2)
259: 0.0000  (0/3)
260: 0.0000  (0/4)
261: 0.0000  (0/3)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
287: 0.0000  (0/1)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
386: 0.0000  (0/1)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
882: 0.0000  (0/4)
(baseline) Accuracies of the localization task: Top 1: 0.0972, Top 3: 0.2908, Top 5: 0.4332
(baseline) Accuracies of the localization task per bug type: 
AssignRewriteScout: 0.1023  (328/3207)
BinaryOperatorRewriteScout: 0.1141  (103/903)
BooleanOperatorRewriteScout: 0.0724  (92/1270)
ComparisonOperatorRewriteScout: 0.1320  (381/2886)
LoopStatementRewriteScout: 0.0314  (48/1530)
(baseline) Accuracies of the localization task per number of reference nodes: 
2: 0.5355  (98/183)
3: 0.2775  (106/382)
4: 0.2923  (145/496)
5: 0.2057  (80/389)
6: 0.1494  (88/589)
7: 0.1642  (66/402)
8: 0.1024  (47/459)
9: 0.0780  (23/295)
10: 0.0828  (28/338)
11: 0.0679  (22/324)
12: 0.0873  (22/252)
13: 0.0849  (22/259)
14: 0.0769  (22/286)
15: 0.0500  (13/260)
16: 0.0675  (16/237)
17: 0.0556  (13/234)
18: 0.0741  (14/189)
19: 0.0565  (10/177)
20: 0.0663  (11/166)
21: 0.0458  (7/153)
22: 0.0340  (5/147)
23: 0.0576  (8/139)
24: 0.0240  (4/167)
25: 0.0120  (2/166)
26: 0.0442  (5/113)
27: 0.0800  (10/125)
28: 0.0097  (1/103)
29: 0.0556  (4/72)
30: 0.0137  (1/73)
31: 0.0333  (3/90)
32: 0.0312  (3/96)
33: 0.0366  (3/82)
34: 0.0396  (4/101)
35: 0.0515  (5/97)
36: 0.0357  (2/56)
37: 0.0185  (1/54)
38: 0.0000  (0/82)
39: 0.0500  (3/60)
40: 0.0649  (5/77)
41: 0.0800  (4/50)
42: 0.0465  (2/43)
43: 0.0208  (1/48)
44: 0.0000  (0/51)
45: 0.0299  (2/67)
46: 0.0270  (1/37)
47: 0.0175  (1/57)
48: 0.0333  (1/30)
49: 0.0333  (1/30)
50: 0.0000  (0/27)
51: 0.0263  (1/38)
52: 0.0851  (4/47)
53: 0.0000  (0/31)
54: 0.0000  (0/43)
55: 0.0286  (1/35)
56: 0.0000  (0/30)
57: 0.0000  (0/15)
58: 0.0526  (1/19)
59: 0.0323  (1/31)
60: 0.0000  (0/50)
61: 0.0000  (0/28)
62: 0.0690  (2/29)
63: 0.0370  (1/27)
64: 0.0000  (0/20)
65: 0.0357  (1/28)
66: 0.0000  (0/17)
67: 0.0000  (0/14)
68: 0.0000  (0/21)
69: 0.0000  (0/21)
70: 0.0000  (0/10)
71: 0.0000  (0/13)
72: 0.0357  (1/28)
73: 0.0000  (0/16)
74: 0.0000  (0/11)
75: 0.0000  (0/21)
76: 0.0000  (0/4)
77: 0.0000  (0/12)
78: 0.0417  (1/24)
79: 0.0000  (0/20)
80: 0.0000  (0/7)
81: 0.0000  (0/7)
82: 0.0000  (0/11)
83: 0.0000  (0/6)
84: 0.0000  (0/11)
85: 0.0000  (0/19)
86: 0.0000  (0/11)
87: 0.0000  (0/11)
88: 0.0000  (0/11)
89: 0.0000  (0/6)
90: 0.0000  (0/5)
91: 0.0000  (0/7)
92: 0.0000  (0/5)
93: 0.0000  (0/16)
94: 0.0000  (0/12)
95: 0.0000  (0/16)
96: 0.0000  (0/16)
97: 0.0000  (0/7)
98: 0.0000  (0/6)
99: 0.1000  (1/10)
100: 0.0000  (0/9)
101: 0.0000  (0/4)
102: 0.0000  (0/11)
103: 0.0000  (0/9)
104: 0.0000  (0/18)
105: 0.0000  (0/10)
106: 0.0000  (0/2)
107: 0.0000  (0/7)
108: 0.0000  (0/5)
109: 0.0000  (0/7)
110: 0.0000  (0/3)
111: 0.0000  (0/3)
112: 0.0000  (0/8)
113: 0.0000  (0/9)
114: 0.0000  (0/11)
115: 0.1000  (1/10)
116: 0.0000  (0/3)
117: 0.0000  (0/7)
118: 0.0000  (0/10)
119: 0.0000  (0/6)
120: 0.0000  (0/5)
121: 0.0000  (0/2)
122: 0.0000  (0/6)
123: 0.0000  (0/2)
125: 0.0000  (0/4)
126: 0.0000  (0/7)
127: 0.0000  (0/11)
128: 0.0000  (0/5)
129: 0.0000  (0/4)
130: 0.0000  (0/12)
131: 0.0000  (0/6)
132: 0.0000  (0/8)
133: 0.0000  (0/3)
134: 0.0000  (0/4)
136: 0.0000  (0/4)
138: 0.0000  (0/4)
139: 0.0000  (0/1)
140: 0.0000  (0/1)
141: 0.0000  (0/8)
142: 0.0000  (0/1)
143: 0.0000  (0/11)
144: 0.0000  (0/4)
145: 0.0000  (0/4)
146: 0.0000  (0/5)
147: 0.0000  (0/4)
149: 0.0000  (0/12)
152: 0.2500  (1/4)
153: 0.0000  (0/4)
154: 0.0000  (0/1)
155: 0.0000  (0/5)
156: 0.0000  (0/2)
157: 0.0000  (0/4)
160: 0.0000  (0/2)
161: 0.0000  (0/2)
162: 0.0000  (0/3)
163: 0.0000  (0/6)
165: 0.0000  (0/2)
166: 0.0000  (0/3)
171: 0.0000  (0/2)
172: 0.0000  (0/1)
173: 0.0000  (0/4)
174: 0.0000  (0/4)
175: 0.0000  (0/1)
177: 0.0000  (0/4)
180: 0.0000  (0/4)
181: 0.0000  (0/5)
185: 0.0000  (0/1)
186: 0.0000  (0/2)
187: 0.0000  (0/3)
189: 0.0000  (0/1)
193: 0.0000  (0/1)
198: 0.0000  (0/2)
199: 0.0000  (0/1)
203: 0.0000  (0/2)
204: 0.0000  (0/1)
206: 0.0000  (0/1)
208: 0.0000  (0/6)
211: 0.0000  (0/4)
219: 0.0000  (0/2)
221: 0.0000  (0/4)
222: 0.0000  (0/3)
227: 0.0000  (0/1)
228: 0.0000  (0/2)
232: 0.0000  (0/2)
237: 0.0000  (0/4)
240: 0.0000  (0/1)
241: 0.0000  (0/1)
242: 0.0000  (0/4)
245: 0.0000  (0/1)
248: 0.0000  (0/1)
249: 0.0000  (0/5)
252: 0.0000  (0/2)
259: 0.0000  (0/3)
260: 0.0000  (0/4)
261: 0.0000  (0/3)
263: 0.0000  (0/3)
264: 0.0000  (0/3)
275: 0.0000  (0/3)
287: 0.0000  (0/1)
292: 0.0000  (0/3)
297: 0.0000  (0/3)
304: 0.0000  (0/4)
308: 0.0000  (0/4)
352: 0.0000  (0/4)
353: 0.0000  (0/1)
357: 0.0000  (0/3)
381: 0.0000  (0/4)
384: 0.0000  (0/1)
386: 0.0000  (0/1)
389: 0.0000  (0/1)
390: 0.0000  (0/4)
407: 0.0000  (0/4)
437: 0.0000  (0/5)
451: 0.0000  (0/1)
504: 0.0000  (0/4)
587: 0.0000  (0/1)
882: 0.0000  (0/4)
Training parameters: #Layers: 8, #Hidden channels: 128, Learning rate: 1e-05, #Training graphs: 27912, #Avg. Reference nodes in evaluation graphs: 28.930073499387504, Use Scaler: False
Removed bugtypes: VariableMisuseRewriteScout, ArgSwapRewriteScout, LiteralRewriteScout
